hardware,driver,profile,status,workers,rx_queues,nic_rxd,nic_txd,xsk_rxd,xsk_txd,buffers,data_size,rx_mode,tx_mode,main_thread_cpu,worker_thread_cpus,numa_locality,rxq_per_worker,rxq_to_worker_thread_cpu,txq_qp_to_producer_worker_cpu,txq_qp_ownership,balance_evidence,placement_limitations,important_options
ConnectX-4,RDMA-DV,primary,final,1,2,2048,2048,,,262144,2048,cyclic,legacy SEND,thread0/CPU4,worker0=thread1/CPU5,NIC main and worker local on NUMA0,2,q0+q1->worker0/thread1/CPU5,worker0/thread1/CPU5->thread-local QP; main/thread0/CPU4 QP also provisioned,thread-local/dedicated,not_applicable,numeric QP identifiers not archived; producer ownership established per VPP thread,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp; CX4 has no eMPW capability
ConnectX-4,RDMA-DV,primary,final,2,2,2048,2048,,,262144,2048,cyclic,legacy SEND,thread0/CPU4,worker0=thread1/CPU5; worker1=thread2/CPU6,NIC main and workers local on NUMA0,1,q0->worker0/thread1/CPU5; q1->worker1/thread2/CPU6,main/thread0/CPU4->main QP; worker0/thread1/CPU5->thread-local QP; worker1/thread2/CPU6->thread-local QP,thread-local/dedicated,RXQ spread <=0.0111%; worker accepted-input imbalance <1%,numeric QP identifiers not archived; producer ownership established per VPP thread,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp; CX4 has no eMPW capability
ConnectX-4,RDMA-DV,primary,final,3,3,1024,2048,,,,2048,cyclic,legacy SEND,thread0/CPU4,worker0=thread1/CPU5; worker1=thread2/CPU6; worker2=thread3/CPU7,NIC main and workers local on NUMA0,1,q0->worker0/thread1/CPU5; q1->worker1/thread2/CPU6; q2->worker2/thread3/CPU7,main/thread0/CPU4->inactive QP; worker0/thread1/CPU5->QP1; worker1/thread2/CPU6->QP2; worker2/thread3/CPU7->QP3,thread-local/dedicated,RXQ spread <=0.159%; TX-worker spread <=0.312%,numeric QP identifiers not archived; main TQ0 inactivity and worker ownership proven from GDB,true Ethernet64 source-limited lower bound; mode=dv; no-multi-seg; no-empw; rss=ipv4-udp
ConnectX-4,DPDK mlx5,primary,final,1,1,1024,2048,,,262144,2048,,DPDK No-MPW classic SEND + inline,thread0/CPU4,worker0=thread1/CPU5,NIC main and worker local on NUMA0,1,q0->worker0/thread1/CPU5,TXQ0->main/thread0/CPU4; TXQ1->worker0/thread1/CPU5,dedicated/non-shared,not_applicable,none,true Ethernet64; two TX queues; CQE compression; vector RX; inline max 64; txq_inline_mpw=1 requested but runtime selected No MPW; mlx5_tx_burst_sci; no-multi-seg; mbuf fast-free
ConnectX-4,DPDK mlx5,primary,final,2,2,1024,2048,,,262144,2048,,DPDK No-MPW classic SEND + inline,thread0/CPU4,worker0=thread1/CPU5; worker1=thread2/CPU6,NIC main and workers local on NUMA0,1,q0->worker0/thread1/CPU5; q1->worker1/thread2/CPU6,TXQ0->main/thread0/CPU4; TXQ1->worker0/thread1/CPU5; TXQ2->worker1/thread2/CPU6,dedicated/non-shared,RXQ spread <=0.162%; worker accepted-input imbalance <1%,none,true Ethernet64; three TX queues; CQE compression; vector RX; inline max 64; txq_inline_mpw=1 requested but runtime selected No MPW; mlx5_tx_burst_sci; no-multi-seg; fast-free disabled by independent screen
ConnectX-4,DPDK mlx5,primary,final,3,3,2048,2048,,,,2048,,DPDK No-MPW classic SEND + inline,thread0/CPU4,worker0=thread1/CPU5; worker1=thread2/CPU6; worker2=thread3/CPU7,NIC main and workers local on NUMA0,1,q0->worker0/thread1/CPU5; q1->worker1/thread2/CPU6; q2->worker2/thread3/CPU7,TXQ0->main/thread0/CPU4 inactive; TXQ1->worker0/thread1/CPU5; TXQ2->worker1/thread2/CPU6; TXQ3->worker2/thread3/CPU7,dedicated/non-shared,RXQ spread <=0.593%; TX-worker spread <=0.593%; TXQ0 zero packets,none,true Ethernet64 source-limited lower bound; four TX queues; CQE compression; vector RX; inline max 64; txq_inline_mpw=1 requested but runtime selected No MPW; mlx5_tx_burst_sci; no-multi-seg
ConnectX-4,AF_XDP ZC,strict,final,1,1,,,4096,4096,1048576,1792,cyclic,XSK zero-copy,thread0/CPU4,worker0=thread1/CPU5,NIC main worker and IRQ/NAPI local on NUMA0,1,q0->worker0/thread1/CPU5,TXQ0->worker0/thread1/CPU5; TXQ1->main/thread0/CPU4,private W+1,one RXQ,q0 IRQ/NAPI->CPU5; TX-only q1 IRQ->CPU4; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX4096; gro timeout20us; NAPI defer8; busy poll off
ConnectX-4,AF_XDP ZC,strict,final,2,2,,,4096,4096,1048576,1792,cyclic,XSK zero-copy,thread0/CPU4,worker0=thread1/CPU5; worker1=thread2/CPU6,NIC main workers and IRQ/NAPI local on NUMA0,1,q0->worker0/thread1/CPU5; q1->worker1/thread2/CPU6,TXQ0->worker0/thread1/CPU5; TXQ1->worker1/thread2/CPU6; TXQ2->main/thread0/CPU4,private W+1,RXQ spread <=0.011%,q0/q1 IRQ/NAPI->CPU5/CPU6; TX-only q2 IRQ->CPU4; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX4096; gro timeout20us; NAPI defer8; busy poll off
ConnectX-4,AF_XDP ZC,strict,final,3,3,,,4096,4096,1048576,1792,cyclic,XSK zero-copy,thread0/CPU4,worker0=thread1/CPU5; worker1=thread2/CPU6; worker2=thread3/CPU7,NIC main workers and IRQ/NAPI local on NUMA0,1,q0->worker0/thread1/CPU5; q1->worker1/thread2/CPU6; q2->worker2/thread3/CPU7,TXQ0->worker0/thread1/CPU5; TXQ1->worker1/thread2/CPU6; TXQ2->worker2/thread3/CPU7; TXQ3->main/thread0/CPU4,private W+1,RXQ spread <=1.165% from RETA and finite-flow quantization,q0/q1/q2 IRQ/NAPI->CPU5/CPU6/CPU7; TX-only q3 IRQ->CPU4; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX4096; gro timeout20us; NAPI defer8; busy poll off
ConnectX-5,RDMA-DV,primary,final,1,1,1024,512,,,524288,2048,cyclic,eMPW,thread0/CPU24,worker0=thread1/CPU25,NIC main and worker local on NUMA1,1,q0->worker0/thread1/CPU25,worker0/thread1/CPU25->thread-local QP; main/thread0/CPU24 QP also provisioned,thread-local/dedicated,not_applicable,QPN/CQN and main-QP activity not exposed by old artifact; ownership follows thread-local architecture,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp
ConnectX-5,RDMA-DV,primary,final,2,2,512,512,,,524288,2048,cyclic,eMPW,thread0/CPU24,worker0=thread1/CPU25; worker1=thread2/CPU26,NIC main and workers local on NUMA1,1,q0->worker0/thread1/CPU25; q1->worker1/thread2/CPU26,worker0/thread1/CPU25 and worker1/thread2/CPU26 each use a thread-local QP; main QP also provisioned,thread-local/dedicated,worker and two-queue balance <1%,QPN/CQN and main-QP activity not exposed by old artifact; ownership follows thread-local architecture,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp
ConnectX-5,RDMA-DV,primary,final,4,4,256,1024,,,524288,2048,cyclic,eMPW,thread0/CPU24,worker0/CPU25; worker1/CPU26; worker2/CPU27; worker3/CPU28,NIC main and workers local on NUMA1,1,q0->worker0; q1->worker1; q2->worker2; q3->worker3,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP,thread-local/dedicated,RXQ spread <=0.163%; TX-node spread about0.17%,maximum under TX pressure; TXD2048 did not raise service rate,true Ethernet64; mode=dv; eMPW; no-multi-seg; rss=ipv4-udp
ConnectX-5,DPDK mlx5,primary,final,1,1,1024,1024,,,524288,2048,,DPDK enhanced MPW,thread0/CPU24,worker0=thread1/CPU25,main/workers/RXQ/TXQ local on NUMA 1,worker0=1,q0->worker0/thread1/CPU25,TXQ0->main/thread0/CPU24; TXQ1->worker0/thread1/CPU25,dedicated/non-shared,single RXQ; worker RX equals TX in all windows,RX overload discards disclosed; maximum forwarding rate; not NDR,true Ethernet64; two dedicated TX queues; no-multi-seg; mbuf-fast-free; rxq_cqe_comp_en=0; txq_inline_max=0; txq_inline_mpw=1; rx_vec_en=1
ConnectX-5,DPDK mlx5,primary,final,2,2,1024,512,,,524288,2048,,DPDK enhanced MPW,thread0/CPU24,worker0=thread1/CPU25; worker1=thread2/CPU26,main/workers/RXQ/TXQ local on NUMA 1,worker0=1; worker1=1,q0->worker0/thread1/CPU25; q1->worker1/thread2/CPU26,TXQ0->main/thread0/CPU24; TXQ1->worker0/thread1/CPU25; TXQ2->worker1/thread2/CPU26,dedicated/non-shared,RXQ and worker spread 0.633%-0.667%; worker RX equals TX in every window,RX overload discards disclosed; maximum forwarding rate; not NDR,true Ethernet64; three dedicated TX queues; no-multi-seg; mbuf-fast-free; rxq_cqe_comp_en=0; txq_inline_max=0; txq_inline_mpw=1; rx_vec_en=1
ConnectX-5,DPDK mlx5,primary,final,4,4,1024,512,,,524288,2048,,DPDK enhanced MPW,thread0/CPU24,worker0/CPU25; worker1/CPU26; worker2/CPU27; worker3/CPU28,main workers RXQ and TXQ local on NUMA1,1,q0->worker0; q1->worker1; q2->worker2; q3->worker3,TXQ0->main inactive; TXQ1->worker0; TXQ2->worker1; TXQ3->worker2; TXQ4->worker3,dedicated/non-shared,RXQ spread <=0.025%; TXQ spread about0.10%,maximum under PMD TX pressure; p2 and p4 did not improve q4,true Ethernet64; five TX queues; vector RX; enhanced MPW; fast-free; CQE compression off
